loggers.Event{id=-1608773753, msg='Some event for user 3 - You are nothing know!', date=Tue May 17 17:20:52 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=2008140831, msg='Some event for user 6 - You are nothing know!', date=Tue May 17 17:20:52 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=1114921836, msg='Some event for user John Snow - You are nothing know!', date=Tue May 17 17:20:52 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=287201774, msg='Some event for user 4 - You are nothing know!', date=Tue May 17 17:20:52 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=-1283217680, msg='Some event for user 3 - You are nothing know!', date=Tue May 17 17:32:43 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=-1338267310, msg='Some event for user 6 - You are nothing know!', date=Tue May 17 17:32:44 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=1111683359, msg='Some event for user John Snow - You are nothing know!', date=Tue May 17 17:32:43 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=384603479, msg='Some event for user 4 - You are nothing know!', date=Tue May 17 17:32:44 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=1315698978, msg='Some event for user 3 - You are nothing know!', date=Tue May 17 17:35:15 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=429228431, msg='Some event for user 6 - You are nothing know!', date=Tue May 17 17:35:16 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=1176107770, msg='Some event for user John Snow - You are nothing know!', date=Tue May 17 17:35:15 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=-2018438351, msg='Some event for user 4 - You are nothing know!', date=Tue May 17 17:35:16 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=215207939, msg='Some event for user 3 - You are nothing know!', date=Tue May 17 17:35:29 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
